"survived","pclass","name","sex","age","sibsp","parch","fare","cabin","embarked"
0,3,1,1,22,1,0,7.25,"?","S"
1,1,1,0,38,1,0,71.2833,"C","C"
1,3,0,0,26,0,0,7.925,"?","S"
1,1,1,0,35,1,0,53.1,"C","S"
0,3,1,1,35,0,0,8.05,"?","S"
0,3,1,1,NA,0,0,8.4583,"?","Q"
0,1,1,1,54,0,0,51.8625,"E","S"
0,3,0,1,2,3,1,21.075,"?","S"
1,3,1,0,27,0,2,11.1333,"?","S"
1,2,1,0,14,1,0,30.0708,"?","C"
1,3,0,0,4,1,1,16.7,"G","S"
1,1,0,0,58,0,0,26.55,"C","S"
0,3,1,1,20,0,0,8.05,"?","S"
0,3,1,1,39,1,5,31.275,"?","S"
0,3,0,0,14,0,0,7.8542,"?","S"
1,2,1,0,55,0,0,16,"?","S"
0,3,0,1,2,4,1,29.125,"?","Q"
1,2,1,1,NA,0,0,13,"?","S"
0,3,1,0,31,1,0,18,"?","S"
1,3,1,0,NA,0,0,7.225,"?","C"
0,2,1,1,35,0,0,26,"?","S"
1,2,1,1,34,0,0,13,"D","S"
1,3,0,0,15,0,0,8.0292,"?","Q"
1,1,1,1,28,0,0,35.5,"A","S"
0,3,0,0,8,3,1,21.075,"?","S"
1,3,1,0,38,1,5,31.3875,"?","S"
0,3,1,1,NA,0,0,7.225,"?","C"
0,1,1,1,19,3,2,263,"C","S"
1,3,0,0,NA,0,0,7.8792,"?","Q"
0,3,1,1,NA,0,0,7.8958,"?","S"
0,1,1,1,40,0,0,27.7208,"?","C"
1,1,1,0,NA,1,0,146.5208,"B","C"
1,3,0,0,NA,0,0,7.75,"?","Q"
0,2,1,1,66,0,0,10.5,"?","S"
0,1,1,1,28,1,0,82.1708,"?","C"
0,1,1,1,42,1,0,52,"?","S"
1,3,1,1,NA,0,0,7.2292,"?","C"
0,3,1,1,21,0,0,8.05,"?","S"
0,3,0,0,18,2,0,18,"?","S"
1,3,0,0,14,1,0,11.2417,"?","C"
0,3,1,0,40,1,0,9.475,"?","S"
0,2,1,0,27,1,0,21,"?","S"
0,3,1,1,NA,0,0,7.8958,"?","C"
1,2,0,0,3,1,2,41.5792,"?","C"
1,3,0,0,19,0,0,7.8792,"?","Q"
0,3,1,1,NA,0,0,8.05,"?","S"
0,3,1,1,NA,1,0,15.5,"?","Q"
1,3,0,0,NA,0,0,7.75,"?","Q"
0,3,1,1,NA,2,0,21.6792,"?","C"
0,3,1,0,18,1,0,17.8,"?","S"
0,3,0,1,7,4,1,39.6875,"?","S"
0,3,1,1,21,0,0,7.8,"?","S"
1,1,1,0,49,1,0,76.7292,"D","C"
1,2,1,0,29,1,0,26,"?","S"
0,1,1,1,65,0,1,61.9792,"B","C"
1,1,1,1,NA,0,0,35.5,"C","S"
1,2,0,0,21,0,0,10.5,"?","S"
0,3,1,1,28.5,0,0,7.2292,"?","C"
1,2,0,0,5,1,2,27.75,"?","S"
0,3,0,1,11,5,2,46.9,"?","S"
0,3,1,1,22,0,0,7.2292,"?","C"
1,1,0,0,38,0,0,80,"B","?"
0,1,1,1,45,1,0,83.475,"C","S"
0,3,0,1,4,3,2,27.9,"?","S"
0,1,1,1,NA,0,0,27.7208,"?","C"
1,3,0,1,NA,1,1,15.2458,"?","C"
1,2,1,0,29,0,0,10.5,"F","S"
0,3,1,1,19,0,0,8.1583,"?","S"
1,3,0,0,17,4,2,7.925,"?","S"
0,3,1,1,26,2,0,8.6625,"?","S"
0,2,1,1,32,0,0,10.5,"?","S"
0,3,0,0,16,5,2,46.9,"?","S"
0,2,1,1,21,0,0,73.5,"?","S"
0,3,1,1,26,1,0,14.4542,"?","C"
1,3,1,1,32,0,0,56.4958,"?","S"
0,3,1,1,25,0,0,7.65,"F","S"
0,3,1,1,NA,0,0,7.8958,"?","S"
0,3,1,1,NA,0,0,8.05,"?","S"
1,2,0,1,0.83,0,2,29,"?","S"
1,3,0,0,30,0,0,12.475,"?","S"
0,3,1,1,22,0,0,9,"?","S"
1,3,1,1,29,0,0,9.5,"?","S"
1,3,0,0,NA,0,0,7.7875,"?","Q"
0,1,1,1,28,0,0,47.1,"?","S"
1,2,0,0,17,0,0,10.5,"?","S"
1,3,1,0,33,3,0,15.85,"?","S"
0,3,1,1,16,1,3,34.375,"?","S"
0,3,1,1,NA,0,0,8.05,"?","S"
1,1,0,0,23,3,2,263,"C","S"
0,3,1,1,24,0,0,8.05,"?","S"
0,3,1,1,29,0,0,8.05,"?","S"
0,3,1,1,20,0,0,7.8542,"?","S"
0,1,1,1,46,1,0,61.175,"E","S"
0,3,1,1,26,1,2,20.575,"?","S"
0,3,1,1,59,0,0,7.25,"?","S"
0,3,1,1,NA,0,0,8.05,"?","S"
0,1,1,1,71,0,0,34.6542,"A","C"
1,1,1,1,23,0,1,63.3583,"D","C"
1,2,1,0,34,0,1,23,"?","S"
0,2,1,1,34,1,0,26,"?","S"
0,3,0,0,28,0,0,7.8958,"?","S"
0,3,1,1,NA,0,0,7.8958,"?","S"
0,1,1,1,21,0,1,77.2875,"D","S"
0,3,1,1,33,0,0,8.6542,"?","S"
0,3,1,1,37,2,0,7.925,"?","S"
0,3,1,1,28,0,0,7.8958,"?","S"
1,3,0,0,21,0,0,7.65,"?","S"
1,3,1,1,NA,0,0,7.775,"?","S"
0,3,1,1,38,0,0,7.8958,"?","S"
1,3,0,0,NA,1,0,24.15,"?","Q"
0,1,1,1,47,0,0,52,"C","S"
0,3,0,0,14.5,1,0,14.4542,"?","C"
0,3,1,1,22,0,0,8.05,"?","S"
0,3,0,0,20,1,0,9.825,"?","S"
0,3,0,0,17,0,0,14.4583,"?","C"
0,3,1,1,21,0,0,7.925,"?","S"
0,3,1,1,70.5,0,0,7.75,"?","Q"
0,2,1,1,29,1,0,21,"?","S"
0,1,1,1,24,0,1,247.5208,"B","C"
0,3,0,0,2,4,2,31.275,"?","S"
0,2,1,1,21,2,0,73.5,"?","S"
0,3,1,1,NA,0,0,8.05,"?","S"
0,2,1,1,32.5,1,0,30.0708,"?","C"
1,2,0,0,32.5,0,0,13,"E","S"
0,1,1,1,54,0,1,77.2875,"D","S"
1,3,0,1,12,1,0,11.2417,"?","C"
0,3,1,1,NA,0,0,7.75,"?","Q"
1,3,1,1,24,0,0,7.1417,"?","S"
1,3,0,0,NA,1,1,22.3583,"F","C"
0,3,1,1,45,0,0,6.975,"?","S"
0,3,1,1,33,0,0,7.8958,"?","C"
0,3,1,1,20,0,0,7.05,"?","S"
0,3,1,0,47,1,0,14.5,"?","S"
1,2,1,0,29,1,0,26,"?","S"
0,2,1,1,25,0,0,13,"?","S"
0,2,1,1,23,0,0,15.0458,"?","C"
1,1,0,0,19,0,2,26.2833,"D","S"
0,1,1,1,37,1,0,53.1,"C","S"
0,3,1,1,16,0,0,9.2167,"?","S"
0,1,1,1,24,0,0,79.2,"B","C"
0,3,1,0,NA,0,2,15.2458,"?","C"
1,3,0,0,22,0,0,7.75,"?","S"
1,3,1,0,24,1,0,15.85,"?","S"
0,3,1,1,19,0,0,6.75,"?","Q"
0,2,1,1,18,0,0,11.5,"?","S"
0,2,1,1,19,1,1,36.75,"?","S"
1,3,1,1,27,0,0,7.7958,"?","S"
0,3,0,0,9,2,2,34.375,"?","S"
0,2,1,1,36.5,0,2,26,"F","S"
0,2,1,1,42,0,0,13,"?","S"
0,2,1,1,51,0,0,12.525,"?","S"
1,1,1,0,22,1,0,66.6,"C","S"
0,3,1,1,55.5,0,0,8.05,"?","S"
0,3,1,1,40.5,0,2,14.5,"?","S"
0,3,1,1,NA,0,0,7.3125,"?","S"
0,1,1,1,51,0,1,61.3792,"?","C"
1,3,0,0,16,0,0,7.7333,"?","Q"
0,3,1,1,30,0,0,8.05,"?","S"
0,3,1,1,NA,0,0,8.6625,"?","S"
0,3,0,1,NA,8,2,69.55,"?","S"
0,3,1,1,44,0,1,16.1,"?","S"
1,2,1,0,40,0,0,15.75,"?","S"
0,3,1,1,26,0,0,7.775,"?","S"
0,3,1,1,17,0,0,8.6625,"?","S"
0,3,0,1,1,4,1,39.6875,"?","S"
1,3,0,1,9,0,2,20.525,"?","S"
1,1,1,0,NA,0,1,55,"E","S"
0,3,1,0,45,1,4,27.9,"?","S"
0,1,1,1,NA,0,0,25.925,"?","S"
0,3,1,1,28,0,0,56.4958,"?","S"
0,1,1,1,61,0,0,33.5,"B","S"
0,3,0,1,4,4,1,29.125,"?","Q"
1,3,0,0,1,1,1,11.1333,"?","S"
0,3,1,1,21,0,0,7.925,"?","S"
0,1,1,1,56,0,0,30.6958,"A","C"
0,3,1,1,18,1,1,7.8542,"?","S"
0,3,0,1,NA,3,1,25.4667,"?","S"
0,1,0,0,50,0,0,28.7125,"C","C"
0,2,1,1,30,0,0,13,"?","S"
0,3,1,1,36,0,0,0,"?","S"
0,3,0,0,NA,8,2,69.55,"?","S"
0,2,1,1,NA,0,0,15.05,"?","C"
0,3,0,1,9,4,2,31.3875,"?","S"
1,2,0,1,1,2,1,39,"F","S"
1,3,0,0,4,0,2,22.025,"?","S"
0,1,1,1,NA,0,0,50,"A","S"
1,3,1,0,NA,1,0,15.5,"?","Q"
1,1,1,1,45,0,0,26.55,"?","S"
0,3,1,1,40,1,1,15.5,"?","Q"
0,3,1,1,36,0,0,7.8958,"?","S"
1,2,1,0,32,0,0,13,"?","S"
0,2,1,1,19,0,0,13,"?","S"
1,3,0,0,19,1,0,7.8542,"?","S"
1,2,0,1,3,1,1,26,"F","S"
1,1,1,0,44,0,0,27.7208,"B","C"
1,1,0,0,58,0,0,146.5208,"B","C"
0,3,1,1,NA,0,0,7.75,"?","Q"
0,3,1,1,42,0,1,8.4042,"?","S"
1,3,0,0,NA,0,0,7.75,"?","Q"
0,2,0,0,24,0,0,13,"?","S"
0,3,1,1,28,0,0,9.5,"?","S"
0,3,1,1,NA,8,2,69.55,"?","S"
0,3,1,1,34,0,0,6.4958,"?","S"
0,3,1,1,45.5,0,0,7.225,"?","C"
1,3,1,1,18,0,0,8.05,"?","S"
0,3,0,0,2,0,1,10.4625,"G","S"
0,3,1,1,32,1,0,15.85,"?","S"
1,3,1,1,26,0,0,18.7875,"?","C"
1,3,0,0,16,0,0,7.75,"?","Q"
1,1,1,1,40,0,0,31,"A","C"
0,3,1,1,24,0,0,7.05,"?","S"
1,2,0,0,35,0,0,21,"?","S"
0,3,1,1,22,0,0,7.25,"?","S"
0,2,1,1,30,0,0,13,"?","S"
0,3,1,1,NA,1,0,7.75,"?","Q"
1,1,0,0,31,1,0,113.275,"D","C"
1,3,0,0,27,0,0,7.925,"?","S"
0,2,1,1,42,1,0,27,"?","S"
1,1,0,0,32,0,0,76.2917,"D","C"
0,2,1,1,30,0,0,10.5,"?","S"
1,3,1,1,16,0,0,8.05,"?","S"
0,2,1,1,27,0,0,13,"?","S"
0,3,1,1,51,0,0,8.05,"?","S"
0,3,1,1,NA,0,0,7.8958,"?","S"
1,1,1,1,38,1,0,90,"C","S"
0,3,1,1,22,0,0,9.35,"?","S"
1,2,1,1,19,0,0,10.5,"?","S"
0,3,1,1,20.5,0,0,7.25,"?","S"
0,2,1,1,18,0,0,13,"?","S"
0,3,0,0,NA,3,1,25.4667,"?","S"
1,1,1,0,35,1,0,83.475,"C","S"
0,3,1,1,29,0,0,7.775,"?","S"
0,2,1,1,59,0,0,13.5,"?","S"
1,3,0,0,5,4,2,31.3875,"?","S"
0,2,1,1,24,0,0,10.5,"?","S"
0,3,0,0,NA,0,0,7.55,"?","S"
0,2,1,1,44,1,0,26,"?","S"
1,2,0,0,8,0,2,26.25,"?","S"
0,2,1,1,19,0,0,10.5,"?","S"
0,2,1,1,33,0,0,12.275,"?","S"
0,3,0,0,NA,1,0,14.4542,"?","C"
1,3,0,0,NA,1,0,15.5,"?","Q"
0,2,1,1,29,0,0,10.5,"?","S"
0,3,1,1,22,0,0,7.125,"?","S"
0,3,1,1,30,0,0,7.225,"?","C"
0,1,1,1,44,2,0,90,"C","Q"
0,3,0,0,25,0,0,7.775,"?","S"
1,2,1,0,24,0,2,14.5,"?","S"
1,1,1,1,37,1,1,52.5542,"D","S"
0,2,1,1,54,1,0,26,"?","S"
0,3,1,1,NA,0,0,7.25,"?","S"
0,3,1,0,29,1,1,10.4625,"G","S"
0,1,1,1,62,0,0,26.55,"C","S"
0,3,1,1,30,1,0,16.1,"?","S"
0,3,1,0,41,0,2,20.2125,"?","S"
1,3,1,0,29,0,2,15.2458,"?","C"
1,1,1,0,NA,0,0,79.2,"?","C"
1,1,0,0,30,0,0,86.5,"B","S"
1,1,0,0,35,0,0,512.3292,"?","C"
1,2,1,0,50,0,1,26,"?","S"
0,3,1,1,NA,0,0,7.75,"?","Q"
1,3,0,1,3,4,2,31.3875,"?","S"
0,1,1,1,52,1,1,79.65,"E","S"
0,1,1,1,40,0,0,0,"B","S"
0,3,0,0,NA,0,0,7.75,"?","Q"
0,2,1,1,36,0,0,10.5,"?","S"
0,3,1,1,16,4,1,39.6875,"?","S"
1,3,1,1,25,1,0,7.775,"?","S"
1,1,1,0,58,0,1,153.4625,"C","S"
1,1,0,0,35,0,0,135.6333,"C","S"
0,1,1,1,NA,0,0,31,"?","S"
1,3,1,1,25,0,0,0,"?","S"
1,2,1,0,41,0,1,19.5,"?","S"
0,1,1,1,37,0,1,29.7,"C","C"
1,3,0,0,NA,0,0,7.75,"?","Q"
1,1,0,0,63,1,0,77.9583,"D","S"
0,3,0,0,45,0,0,7.75,"?","S"
0,2,1,1,NA,0,0,0,"?","S"
0,3,0,1,7,4,1,29.125,"?","Q"
1,3,1,0,35,1,1,20.25,"?","S"
0,3,1,1,65,0,0,7.75,"?","Q"
0,3,1,1,28,0,0,7.8542,"?","S"
0,3,1,1,16,0,0,9.5,"?","S"
1,3,1,1,19,0,0,8.05,"?","S"
0,1,1,1,NA,0,0,26,"A","S"
0,3,1,1,33,0,0,8.6625,"?","C"
1,3,1,1,30,0,0,9.5,"?","S"
0,3,1,1,22,0,0,7.8958,"?","S"
1,2,1,1,42,0,0,13,"?","S"
1,3,0,0,22,0,0,7.75,"?","Q"
1,1,0,0,26,0,0,78.85,"?","S"
1,1,1,0,19,1,0,91.0792,"B","C"
0,2,1,1,36,0,0,12.875,"D","C"
0,3,0,0,24,0,0,8.85,"?","S"
0,3,1,1,24,0,0,7.8958,"?","S"
0,1,1,1,NA,0,0,27.7208,"?","C"
0,3,1,1,23.5,0,0,7.2292,"?","C"
0,1,0,0,2,1,2,151.55,"C","S"
1,1,1,1,NA,0,0,30.5,"C","S"
1,1,1,0,50,0,1,247.5208,"B","C"
1,3,0,0,NA,0,0,7.75,"?","Q"
1,3,1,1,NA,2,0,23.25,"?","Q"
0,3,1,1,19,0,0,0,"?","S"
1,2,0,0,NA,0,0,12.35,"E","Q"
0,3,1,1,NA,0,0,8.05,"?","S"
1,1,0,1,0.92,1,2,151.55,"C","S"
1,1,0,0,NA,0,0,110.8833,"?","C"
1,1,1,0,17,1,0,108.9,"C","C"
0,2,1,1,30,1,0,24,"?","C"
1,1,0,0,30,0,0,56.9292,"E","C"
1,1,0,0,24,0,0,83.1583,"C","C"
1,1,0,0,18,2,2,262.375,"B","C"
0,2,1,0,26,1,1,26,"?","S"
0,3,1,1,28,0,0,7.8958,"?","S"
0,2,1,1,43,1,1,26.25,"?","S"
1,3,0,0,26,0,0,7.8542,"?","S"
1,2,1,0,24,1,0,26,"?","S"
0,2,1,1,54,0,0,14,"?","S"
1,1,0,0,31,0,2,164.8667,"C","S"
1,1,1,0,40,1,1,134.5,"E","C"
0,3,1,1,22,0,0,7.25,"?","S"
0,3,1,1,27,0,0,7.8958,"?","S"
1,2,0,0,30,0,0,12.35,"?","Q"
1,2,1,0,22,1,1,29,"?","S"
0,3,1,1,NA,8,2,69.55,"?","S"
1,1,0,0,36,0,0,135.6333,"C","C"
0,3,1,1,61,0,0,6.2375,"?","S"
1,2,1,0,36,0,0,13,"D","S"
1,3,1,0,31,1,1,20.525,"?","S"
1,1,0,0,16,0,1,57.9792,"B","C"
1,3,0,0,NA,2,0,23.25,"?","Q"
0,1,1,1,45.5,0,0,28.5,"C","S"
0,1,1,1,38,0,1,153.4625,"C","S"
0,3,1,1,16,2,0,18,"?","S"
1,1,1,0,NA,1,0,133.65,"?","S"
0,3,1,1,NA,0,0,7.8958,"?","S"
0,1,1,1,29,1,0,66.6,"C","S"
1,1,0,0,41,0,0,134.5,"E","C"
1,3,1,1,45,0,0,8.05,"?","S"
0,1,1,1,45,0,0,35.5,"T","S"
1,2,0,1,2,1,1,26,"F","S"
1,1,0,0,24,3,2,263,"C","S"
0,2,1,1,28,0,0,13,"?","S"
0,2,1,1,25,0,0,13,"?","S"
0,2,1,1,36,0,0,13,"?","S"
1,2,0,0,24,0,0,13,"F","S"
1,2,0,0,40,0,0,13,"?","S"
1,3,1,0,NA,1,0,16.1,"?","S"
1,3,0,1,3,1,1,15.9,"?","S"
0,3,1,1,42,0,0,8.6625,"?","S"
0,3,1,1,23,0,0,9.225,"?","S"
0,1,1,1,NA,0,0,35,"C","S"
0,3,1,1,15,1,1,7.2292,"?","C"
0,3,1,1,25,1,0,17.8,"?","S"
0,3,1,1,NA,0,0,7.225,"?","C"
0,3,1,1,28,0,0,9.5,"?","S"
1,1,0,0,22,0,1,55,"E","S"
0,2,0,0,38,0,0,13,"?","S"
1,3,0,0,NA,0,0,7.8792,"?","Q"
1,3,0,0,NA,0,0,7.8792,"?","Q"
0,3,1,1,40,1,4,27.9,"?","S"
0,2,1,1,29,1,0,27.7208,"?","C"
0,3,1,0,45,0,1,14.4542,"?","C"
0,3,1,1,35,0,0,7.05,"?","S"
0,3,1,1,NA,1,0,15.5,"?","Q"
0,3,1,1,30,0,0,7.25,"?","S"
1,1,1,0,60,1,0,75.25,"D","C"
1,3,1,0,NA,0,0,7.2292,"?","C"
1,3,0,0,NA,0,0,7.75,"?","Q"
1,1,1,0,24,0,0,69.3,"B","C"
1,1,1,1,25,1,0,55.4417,"E","C"
0,3,1,1,18,1,0,6.4958,"?","S"
0,3,1,1,19,0,0,8.05,"?","S"
0,1,1,1,22,0,0,135.6333,"?","C"
0,3,0,0,3,3,1,21.075,"?","S"
1,1,1,0,NA,1,0,82.1708,"?","C"
1,3,0,0,22,0,0,7.25,"?","S"
0,1,1,1,27,0,2,211.5,"C","C"
0,3,1,1,20,0,0,4.0125,"?","C"
0,3,1,1,19,0,0,7.775,"?","S"
1,1,0,0,42,0,0,227.525,"?","C"
1,3,0,0,1,0,2,15.7417,"?","C"
0,3,1,1,32,0,0,7.925,"?","S"
1,1,1,0,35,1,0,52,"?","S"
0,3,1,1,NA,0,0,7.8958,"?","S"
0,2,1,1,18,0,0,73.5,"?","S"
0,3,0,1,1,5,2,46.9,"?","S"
1,2,0,0,36,0,0,13,"?","S"
0,3,1,1,NA,0,0,7.7292,"?","Q"
1,2,0,0,17,0,0,12,"?","C"
1,1,1,1,36,1,2,120,"B","S"
1,3,1,1,21,0,0,7.7958,"?","S"
0,3,1,1,28,2,0,7.925,"?","S"
1,1,0,0,23,1,0,113.275,"D","C"
1,3,1,0,24,0,2,16.7,"G","S"
0,3,1,1,22,0,0,7.7958,"?","S"
0,3,0,0,31,0,0,7.8542,"?","S"
0,2,1,1,46,0,0,26,"?","S"
0,2,1,1,23,0,0,10.5,"?","S"
1,2,1,0,28,0,0,12.65,"?","S"
1,3,1,1,39,0,0,7.925,"?","S"
0,3,1,1,26,0,0,8.05,"?","S"
0,3,0,0,21,1,0,9.825,"?","S"
0,3,1,1,28,1,0,15.85,"?","S"
0,3,0,0,20,0,0,8.6625,"?","S"
0,2,1,1,34,1,0,21,"?","S"
0,3,1,1,51,0,0,7.75,"?","S"
1,2,0,1,3,1,1,18.75,"?","S"
0,3,1,1,21,0,0,7.775,"?","S"
0,3,0,0,NA,3,1,25.4667,"?","S"
0,3,1,1,NA,0,0,7.8958,"?","S"
0,3,1,1,NA,0,0,6.8583,"?","Q"
1,1,0,0,33,1,0,90,"C","Q"
0,2,1,1,NA,0,0,0,"?","S"
1,3,1,1,44,0,0,7.925,"?","S"
0,3,1,0,NA,0,0,8.05,"?","S"
1,2,1,0,34,1,1,32.5,"?","S"
1,2,0,0,18,0,2,13,"?","S"
0,2,1,1,30,0,0,13,"?","S"
0,3,0,0,10,0,2,24.15,"?","S"
0,3,1,1,NA,0,0,7.8958,"?","C"
0,3,1,1,21,0,0,7.7333,"?","Q"
0,3,1,1,29,0,0,7.875,"?","S"
0,3,1,0,28,1,1,14.4,"?","S"
0,3,1,1,18,1,1,20.2125,"?","S"
0,3,1,1,NA,0,0,7.25,"?","S"
1,2,1,0,28,1,0,26,"?","S"
1,2,0,0,19,0,0,26,"?","S"
0,3,1,1,NA,0,0,7.75,"?","Q"
1,3,1,1,32,0,0,8.05,"E","S"
1,1,1,1,28,0,0,26.55,"C","S"
1,3,1,0,NA,1,0,16.1,"?","S"
1,2,1,0,42,1,0,26,"?","S"
0,3,1,1,17,0,0,7.125,"?","S"
0,1,1,1,50,1,0,55.9,"E","S"
1,1,0,0,14,1,2,120,"B","S"
0,3,0,0,21,2,2,34.375,"?","S"
1,2,1,0,24,2,3,18.75,"?","S"
0,1,1,1,64,1,4,263,"C","S"
0,2,1,1,31,0,0,10.5,"?","S"
1,2,1,0,45,1,1,26.25,"?","S"
0,3,1,1,20,0,0,9.5,"?","S"
0,3,1,1,25,1,0,7.775,"?","S"
1,2,1,0,28,0,0,13,"?","S"
